domain,robots_status,robots_present,blocks_named_ai_agent,ai_agents_named,sig_directory_status,has_sig_directory,sig_directory_shape,llms_txt_status,has_llms_txt,ai_txt_status,has_ai_txt,checked_at
adnxs.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:04:12Z
booking.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:04:15Z
alibabadns.com,,False,False,,,False,,,False,,False,2026-09-11T14:04:19Z
scorecardresearch.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:04:23Z
imdb.com,200,True,True,amazonbot,202,False,,202,False,202,False,2026-09-11T14:04:24Z
who.int,200,True,True,ccbot,404,False,,404,False,404,False,2026-09-11T14:04:31Z
alidns.com,200,False,False,,200,False,,200,True,200,True,2026-09-11T14:04:33Z
name-services.com,,False,False,,,False,,,False,,False,2026-09-11T14:04:37Z
wixsite.com,,False,False,,,False,,,False,,False,2026-09-11T14:04:43Z
launchpad.net,200,True,True,amazonbot;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,404,False,,404,False,404,False,2026-09-11T14:04:47Z
ttvnw.net,,False,False,,,False,,,False,,False,2026-09-11T14:04:47Z
linktr.ee,200,True,True,amazonbot;applebot-extended;ccbot;chatgpt-user;claude-web;claudebot;google-extended;gptbot;oai-searchbot;perplexitybot,404,False,,200,True,404,False,2026-09-11T14:04:49Z
forter.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot,200,True,jwks_directory,200,True,404,False,2026-09-11T14:04:53Z
yandexcloud.net,,False,False,,,False,,,False,,False,2026-09-11T14:04:54Z
facebook.net,,False,False,,,False,,,False,,False,2026-09-11T14:04:56Z
ibm.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:04:58Z
mangosip.ru,,False,False,,,False,,,False,,False,2026-09-11T14:04:59Z
amon.tech,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:05:00Z
telecid.ru,,False,False,,,False,,,False,,False,2026-09-11T14:05:01Z
prodregistryv2.org,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:05:06Z
msedge.net,,False,False,,,False,,,False,,False,2026-09-11T14:05:08Z
spov-msedge.net,,False,False,,,False,,,False,,False,2026-09-11T14:05:08Z
reuters.com,200,True,True,applebot-extended;chatgpt-user;oai-searchbot,403,False,,401,False,401,False,2026-09-11T14:05:12Z
aliyuncsslbintl.com,,False,False,,,False,,,False,,False,2026-09-11T14:05:14Z
2mdn.net,,False,False,,,False,,,False,,False,2026-09-11T14:05:20Z
amplitude.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot,404,False,,200,True,200,False,2026-09-11T14:05:22Z
springer.com,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:05:26Z
media-amazon.com,,False,False,,,False,,,False,,False,2026-09-11T14:05:31Z
arubanetworks.com,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:05:36Z
tinyurl.com,200,True,False,,403,False,,404,False,404,False,2026-09-11T14:05:37Z
telegram.me,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:05:43Z
dnsmadeeasy.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:05:44Z
appsflyer.com,200,True,False,,403,False,,404,False,404,False,2026-09-11T14:05:53Z
mozilla.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:06:02Z
drom.ru,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:06:05Z
crpt.ru,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:06:10Z
nature.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot;youbot,404,False,,404,False,404,False,2026-09-11T14:06:14Z
hp.com,200,True,True,chatgpt-user;claudebot;google-extended;gptbot;oai-searchbot;perplexitybot,404,False,,404,False,404,False,2026-09-11T14:06:17Z
byteoversea.net,,False,False,,,False,,,False,,False,2026-09-11T14:06:22Z
tiktokcdn-us.com,,False,False,,,False,,,False,,False,2026-09-11T14:06:28Z
mzstatic.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:06:28Z
weibo.com,200,True,True,bytespider;chatgpt-user;meta-externalagent;oai-searchbot,200,False,,200,False,200,False,2026-09-11T14:06:34Z
inmobi.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:06:37Z
steampowered.com,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:06:46Z
jsdelivr.net,,False,False,,,False,,,False,,False,2026-09-11T14:06:53Z
www.gov.uk,200,True,True,meta-externalagent,404,False,,404,False,404,False,2026-09-11T14:06:56Z
salesforce.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:07:02Z
clarity.ms,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:07:05Z
autodesk.com,403,False,False,,404,False,,403,False,403,False,2026-09-11T14:07:13Z
alibaba.com,200,True,True,google-extended;gptbot,200,False,,200,False,200,False,2026-09-11T14:07:14Z
wac-msedge.net,,False,False,,,False,,,False,,False,2026-09-11T14:07:21Z
harvard.edu,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:07:23Z
weather.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,404,False,,200,True,404,False,2026-09-11T14:07:27Z
datadoghq.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:07:31Z
debian.org,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:07:33Z
samsungcloud.com,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:07:39Z
ea.com,200,True,True,bytespider;cohere-ai;meta-externalagent,404,False,,404,False,404,False,2026-09-11T14:07:41Z
avast.com,200,True,True,chatgpt-user;claudebot;gptbot;oai-searchbot;perplexitybot,403,False,,200,True,404,False,2026-09-11T14:07:48Z
ok.ru,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:07:48Z
wiley.com,200,True,False,,403,False,,404,False,404,False,2026-09-11T14:07:55Z
mtgglobals.com,,False,False,,,False,,,False,,False,2026-09-11T14:07:56Z
samsungqbe.com,,False,False,,,False,,,False,,False,2026-09-11T14:08:01Z
heytapmobile.com,,False,False,,,False,,,False,,False,2026-09-11T14:08:02Z
php.net,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:08:07Z
douyincdn.com,,False,False,,,False,,,False,,False,2026-09-11T14:08:08Z
shalltry.com,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:08:14Z
namecheap.com,200,True,False,,404,False,,403,False,403,False,2026-09-11T14:08:14Z
amazon.co.uk,200,True,True,bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;crawl4ai;diffbot;google-extended;gptbot;iaskspider;imagesiftbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;timpibot;wrtnbot;youbot,404,False,,404,False,404,False,2026-09-11T14:08:20Z
akamaihd.net,,False,False,,,False,,,False,,False,2026-09-11T14:08:23Z
aliyun.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:08:27Z
googleblog.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:08:29Z
myshopify.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:08:39Z
hostinger.com,200,True,True,bytespider;ccbot;chatgpt-user;claudebot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;youbot,404,False,,200,True,404,False,2026-09-11T14:08:46Z
dell.com,200,True,True,bytespider,200,False,,200,True,200,False,2026-09-11T14:08:46Z
worldnic.com,,False,False,,,False,,,False,,False,2026-09-11T14:08:52Z
vecdnlb.com,,False,False,,,False,,,False,,False,2026-09-11T14:08:55Z
trueconf.net,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:08:59Z
smartadserver.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:09:01Z
gnu.org,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:09:08Z
awswaf.com,,False,False,,,False,,,False,,False,2026-09-11T14:09:08Z
name.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:09:13Z
crashlytics.com,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:09:14Z
tbcache.com,,False,False,,,False,,,False,,False,2026-09-11T14:09:17Z
bilibili.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:09:23Z
inner-active.mobi,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:09:23Z
doubleverify.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:09:37Z
statsigapi.net,403,False,False,,404,False,,403,False,403,False,2026-09-11T14:09:44Z
slack.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:09:50Z
trustpilot.com,200,True,True,anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;timpibot;youbot,404,False,,403,False,403,False,2026-09-11T14:09:57Z
naver.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:10:04Z
checkpoint.com,200,True,False,,200,True,jwks_directory,200,True,202,False,2026-09-11T14:10:16Z
spaceweb.pro,,False,False,,,False,,,False,,False,2026-09-11T14:10:24Z
shiabank.com,,False,False,,,False,,,False,,False,2026-09-11T14:10:30Z
hostgator.com,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:10:57Z
edgcdn.net,,False,False,,,False,,,False,,False,2026-09-11T14:11:03Z
un.org,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:11:09Z
wildberries.ru,498,False,False,,200,False,,498,False,498,False,2026-09-11T14:11:17Z
cdc.gov,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:11:26Z
opendns.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:11:34Z
weebly.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:11:47Z
media.net,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:11:55Z
